tag,target,requests_ok,requests,concurrency,batch,seq_len,hidden_dim,wall_ms,throughput_rps,lat_mean_ms,lat_p50_ms,lat_p99_ms,queue_mean_ms,compute_mean_ms,other_mean_ms,req_bytes
batch1,localhost:50061,300,300,16,1,32,128,36.0394,8324.23,1.86003,1.82462,3.32364,0,0.0814239,1.77861,16384
batch2,localhost:50061,300,300,16,2,32,128,36.8195,8147.86,1.89712,1.89759,2.48446,0,0.0813612,1.81575,32768
batch4,localhost:50061,300,300,16,4,32,128,44.5618,6732.23,2.29496,2.30692,4.25913,0,0.0970131,2.19795,65536
batch8,localhost:50061,300,300,16,8,32,128,66.846,4487.93,3.44982,3.49892,3.91247,0,0.136589,3.31323,131072
batch16,localhost:50061,300,300,16,16,32,128,123.197,2435.12,6.35432,6.45401,12.1532,0,0.238752,6.11556,262144
batch32,localhost:50061,300,300,16,32,32,128,221.083,1356.95,11.4174,11.6329,21.7296,0,0.422517,10.9949,524288
batch64,localhost:50061,300,300,16,64,32,128,398.376,753.058,20.5317,20.8409,24.1974,0,0.785868,19.7458,1048576
batch128,localhost:50061,120,120,16,128,32,128,321.411,373.354,40.0554,42.2697,51.2404,0,1.52804,38.5273,2097152
batch256,localhost:50061,120,120,16,256,32,128,633.277,189.49,78.3031,80.6256,101.941,0,3.08047,75.2226,4194304
batch512,localhost:50061,120,120,16,512,32,128,1281.59,93.6336,158.979,160.671,216.782,0,6.4203,152.559,8388608
batch1024,localhost:50061,50,50,16,1024,32,128,1041.06,48.028,284.779,307.362,362.688,0,13.3156,271.463,16777216
batch2048,localhost:50061,50,50,16,2048,32,128,2267.59,22.0499,609.706,659.158,778.766,0,26.7872,582.919,33554432
